Date,Adj Close,Volume
1972-06-01,0.25145,1091238
1972-06-02,0.250977,1174468
1972-06-05,0.250977,5209582
1972-06-06,0.248136,1424158
1972-06-07,0.246715,675088
1972-06-08,0.24482,1038834
1972-06-09,0.2434,6590583
1972-06-12,0.2434,1430323
1972-06-13,0.245294,934026
1972-06-14,0.249083,2940794
1972-06-15,0.248136,1464232
1972-06-16,0.249083,752153
1972-06-19,0.247662,530206
1972-06-20,0.248609,897034
1972-06-21,0.246241,1612196
1972-06-22,0.24482,1282359
1972-06-23,0.244347,1276193
1972-06-26,0.2434,622684
1972-06-27,0.245294,878539
1972-06-28,0.24482,906282
1972-06-29,0.243873,450059
1972-06-30,0.241979,826135
1972-07-03,0.241032,440811
1972-07-05,0.239612,1396415
1972-07-06,0.242453,1174468
1972-07-07,0.241506,1353258
1972-07-10,0.238665,527123
1972-07-11,0.237244,548702
1972-07-12,0.23535,1803317
1972-07-13,0.23535,681253
1972-07-14,0.234876,943273
1972-07-17,0.234876,585693
1972-07-18,0.237244,1340928
1972-07-19,0.238665,1710839
1972-07-20,0.23535,493215
1972-07-21,0.238665,604188
1972-07-24,0.245294,1458066
1972-07-25,0.246921,1553627
1972-07-26,0.245964,431563
1972-07-27,0.245007,1109733
1972-07-28,0.2474,1815647
1972-07-31,0.2474,1260780
1972-08-01,0.2474,1427240
1972-08-02,0.250749,2142402
1972-08-03,0.255056,4334125
1972-08-04,0.256013,1189881
1972-08-07,0.256492,1932786
1972-08-08,0.255535,949439
1972-08-09,0.251707,2823655
1972-08-10,0.252185,1205294
1972-08-11,0.254099,1285441
1972-08-14,0.255535,1889629
1972-08-15,0.253621,1128229
1972-08-16,0.246921,1140559
1972-08-17,0.251228,2133154
1972-08-18,0.251228,974099
1972-08-21,0.252185,1008008
1972-08-22,0.256013,1704674
1972-08-23,0.266062,3171988
1972-08-24,0.262234,2450661
1972-08-25,0.258884,1587535
1972-08-28,0.258884,585693
1972-08-29,0.254578,1957446
1972-08-30,0.252663,906282
1972-08-31,0.257927,782979
1972-09-01,0.257927,696666
1972-09-05,0.254578,391489
1972-09-06,0.252663,662757
1972-09-07,0.253621,739822
1972-09-08,0.253142,742905
1972-09-11,0.252663,576445
1972-09-12,0.249792,1233037
1972-09-13,0.251228,776813
1972-09-14,0.250749,487050
1972-09-15,0.251228,496297
1972-09-18,0.250749,299011
1972-09-19,0.249792,853878
1972-09-20,0.247878,1646105
1972-09-21,0.242136,1593700
1972-09-22,0.24405,829217
1972-09-25,0.244528,675088
1972-09-26,0.245964,635014
1972-09-27,0.249792,1963612
1972-09-28,0.253142,2105411
1972-09-29,0.255056,1618361
1972-10-02,0.255535,712079
1972-10-03,0.251707,835383
1972-10-04,0.251228,795309
1972-10-05,0.249792,650427
1972-10-06,0.249792,1103568
1972-10-09,0.250749,672005
1972-10-10,0.252663,844630
1972-10-11,0.252185,394572
1972-10-12,0.250271,403820
1972-10-13,0.246443,2530809
1972-10-16,0.245007,379159
1972-10-17,0.24405,1692343
1972-10-18,0.245007,601106
1972-10-19,0.243571,1208376
1972-10-20,0.247878,1797152
1972-10-23,0.248357,2509231
1972-10-24,0.252185,1211459
1972-10-25,0.253345,1072742
1972-10-26,0.253829,1356341
1972-10-27,0.256246,1655352
1972-10-30,0.255279,1353258
1972-10-31,0.256246,1565957
1972-11-01,0.262048,2308862
1972-11-02,0.2693,4608476
1972-11-03,0.278486,6266911
1972-11-06,0.281387,3689864
1972-11-08,0.279937,4451264
1972-11-09,0.285739,3307622
1972-11-10,0.289607,8326083
1972-11-13,0.286706,3113419
1972-11-14,0.29154,2515396
1972-11-15,0.289607,2694186
1972-11-16,0.293958,2863729
1972-11-17,0.30121,7296497
1972-11-20,0.302177,4953727
1972-11-21,0.304595,2928463
1972-11-22,0.302661,2290366
1972-11-24,0.29976,2093080
1972-11-27,0.294925,3101088
1972-11-28,0.29009,1633774
1972-11-29,0.288156,3353861
1972-11-30,0.29154,1180633
1972-12-01,0.292991,1673848
1972-12-04,0.294441,1664600
1972-12-05,0.300727,3631294
1972-12-06,0.30121,2318110
1972-12-07,0.303144,2913050
1972-12-08,0.29976,2006768
1972-12-11,0.302661,2644865
1972-12-12,0.300243,3905645
1972-12-13,0.29976,1960529
1972-12-14,0.300727,2410588
1972-12-15,0.295892,1874216
1972-12-18,0.285739,2666443
1972-12-19,0.287673,1202211
1972-12-20,0.286706,1066577
1972-12-21,0.286706,2416753
1972-12-22,0.292024,1516636
1972-12-26,0.298793,1966694
1972-12-27,0.305562,2617121
1972-12-29,0.307979,2706516
1973-01-02,0.305562,1784821
1973-01-03,0.302177,1926620
1973-01-04,0.309913,4025866
1973-01-05,0.309913,4133757
1973-01-08,0.311847,5104774
1973-01-09,0.309429,1960529
1973-01-10,0.307012,1202211
1973-01-11,0.311363,6541262
1973-01-12,0.304111,4482090
1973-01-15,0.303144,3261383
1973-01-16,0.300243,2324275
1973-01-17,0.30121,1254615
1973-01-18,0.295892,2059172
1973-01-19,0.294925,3061015
1973-01-22,0.292024,1562875
1973-01-23,0.292317,2808242
1973-01-24,0.290365,3887149
1973-01-26,0.290365,2250293
1973-01-29,0.289389,2086915
1973-01-30,0.289389,4044362
1973-01-31,0.289877,995677
1973-02-01,0.275237,3184318
1973-02-02,0.275237,4075188
1973-02-05,0.273285,2524643
1973-02-06,0.272308,2139319
1973-02-07,0.270844,2765086
1973-02-08,0.269868,4472842
1973-02-09,0.273285,4525246
1973-02-12,0.273285,964852
1973-02-13,0.278165,9371082
1973-02-14,0.271333,2626369
1973-02-15,0.26694,1797152
1973-02-16,0.272796,2040676
1973-02-20,0.27426,1470397
1973-02-21,0.271333,1661518
1973-02-22,0.270356,900117
1973-02-23,0.263524,1152890
1973-02-26,0.260596,2509231
1973-02-27,0.256204,1507388
1973-02-28,0.257668,2111576
1973-03-01,0.255228,1787904
1973-03-02,0.25962,1868051
1973-03-05,0.256692,1630692
1973-03-06,0.25962,2108493
1973-03-07,0.26206,2392092
1973-03-08,0.258156,727492
1973-03-09,0.25718,844630
1973-03-12,0.255228,1125146
1973-03-13,0.255716,1710839
1973-03-14,0.25474,1189881
1973-03-15,0.253276,1085073
1973-03-16,0.251812,1044999
1973-03-19,0.245956,1827978
1973-03-20,0.246444,1118981
1973-03-21,0.243028,1411827
1973-03-22,0.2401,1831060
1973-03-23,0.242052,1766326
1973-03-26,0.242052,1417993
1973-03-27,0.244492,3467917
1973-03-28,0.24498,1307019
1973-03-29,0.250836,1883464
1973-03-30,0.24742,1741665
1973-04-02,0.246444,548702
1973-04-03,0.243516,1966694
1973-04-04,0.24254,1152890
1973-04-05,0.2401,712079
1973-04-06,0.241076,1112816
1973-04-09,0.248884,4186161
1973-04-10,0.24986,2987032
1973-04-11,0.258644,3273714
1973-04-12,0.25474,1911208
1973-04-13,0.252788,890869
1973-04-16,0.246932,1174468
1973-04-17,0.250836,1270028
1973-04-18,0.250836,1381002
1973-04-19,0.256204,3088758
1973-04-23,0.252788,924778
1973-04-24,0.246177,1522801
1973-04-25,0.242231,1827978
1973-04-26,0.243711,1282359
1973-04-27,0.23779,2256458
1973-04-30,0.242231,2167063
1973-05-01,0.240751,2620204
1973-05-02,0.244204,1319350
1973-05-03,0.252591,2046842
1973-05-04,0.253084,1485810
1973-05-07,0.251604,955604
1973-05-08,0.251111,1411827
1973-05-09,0.241244,3437091
1973-05-10,0.239271,4300217
1973-05-11,0.231377,2589378
1973-05-14,0.223484,4106014
1973-05-15,0.231377,4719450
1973-05-16,0.230884,3520321
1973-05-17,0.228417,1553627
1973-05-18,0.223484,3024024
1973-05-21,0.223484,2450661
1973-05-22,0.22743,1720087
1973-05-23,0.229404,1747830
1973-05-24,0.246177,3372357
1973-05-25,0.238777,5027709
1973-05-29,0.232857,927860
1973-05-30,0.229404,1387167
1973-05-31,0.22595,1661518
1973-06-01,0.22447,1337845
1973-06-04,0.221017,1411827
1973-06-05,0.22447,2173228
1973-06-06,0.225457,1485810
1973-06-07,0.22743,1695426
1973-06-08,0.22891,1683096
1973-06-11,0.229404,2068420
1973-06-12,0.23187,1347093
1973-06-13,0.226444,3680616
1973-06-14,0.226937,1057329
1973-06-15,0.225457,992595
1973-06-18,0.220524,1935868
1973-06-19,0.21855,3612799
1973-06-20,0.216083,2376679
1973-06-21,0.210163,1485810
1973-06-22,0.214604,6547427
1973-06-25,0.211644,2213302
1973-06-26,0.216083,1926620
1973-06-27,0.216083,1464232
1973-06-28,0.21707,801474
1973-06-29,0.21559,1122064
1973-07-02,0.21263,786061
1973-07-03,0.211644,693583
1973-07-05,0.21115,1590618
1973-07-06,0.209177,860043
1973-07-09,0.21115,1254615
1973-07-10,0.21263,1883464
1973-07-11,0.22151,3202814
1973-07-12,0.21855,4346456
1973-07-13,0.214604,2459909
1973-07-16,0.216577,2943876
1973-07-17,0.213617,2666443
1973-07-18,0.216083,1926620
1973-07-19,0.216083,2780499
1973-07-20,0.219044,3631294
1973-07-23,0.222497,2919215
1973-07-24,0.224506,2053007
1973-07-25,0.226013,3356944
1973-07-26,0.228022,1698509
1973-07-27,0.229026,3045602
1973-07-30,0.229528,1630692
1973-07-31,0.226013,2250293
1973-08-01,0.224004,1248450
1973-08-02,0.222999,1205294
1973-08-03,0.222999,1239202
1973-08-06,0.223501,767566
1973-08-07,0.216972,2330440
1973-08-08,0.212954,1945116
1973-08-09,0.214461,1075825
1973-08-10,0.215466,752153
1973-08-13,0.21647,690501
1973-08-14,0.216972,687418
1973-08-15,0.217475,1470397
1973-08-16,0.215968,2444496
1973-08-17,0.21647,937108
1973-08-20,0.214461,477802
1973-08-21,0.213456,801474
1973-08-22,0.213456,841548
1973-08-23,0.215968,1313185
1973-08-24,0.213959,1285441
1973-08-27,0.213959,631932
1973-08-28,0.215466,937108
1973-08-29,0.217475,3544982
1973-08-30,0.219986,1279276
1973-08-31,0.221995,1211459
1973-09-04,0.222999,1399497
1973-09-05,0.222999,1683096
1973-09-06,0.221492,841548
1973-09-07,0.221995,749070
1973-09-10,0.219986,1877299
1973-09-11,0.221995,930943
1973-09-12,0.222999,1094320
1973-09-13,0.221492,844630
1973-09-14,0.222999,1152890
1973-09-17,0.221995,1763243
1973-09-18,0.22099,1180633
1973-09-19,0.220488,2472239
1973-09-20,0.222497,3301457
1973-09-21,0.229026,4069022
1973-09-24,0.23656,4084435
1973-09-25,0.241582,3609716
1973-09-26,0.247609,3480247
1973-09-27,0.241582,1954364
1973-09-28,0.240578,1929703
1973-10-01,0.240076,1340928
1973-10-02,0.240578,1091238
1973-10-03,0.24108,1516636
1973-10-04,0.240578,878539
1973-10-05,0.246103,2358183
1973-10-08,0.249116,1686178
1973-10-09,0.247107,1901960
1973-10-10,0.242587,2681856
1973-10-11,0.249116,1535131
1973-10-12,0.244596,1300854
1973-10-15,0.240076,1322432
1973-10-16,0.236058,2274953
1973-10-17,0.229026,2681856
1973-10-18,0.227519,3122666
1973-10-19,0.229528,3159658
1973-10-22,0.226515,1951281
1973-10-23,0.227228,2191723
1973-10-24,0.227228,1186798
1973-10-25,0.220095,2253375
1973-10-26,0.226719,2299614
1973-10-29,0.221624,1689261
1973-10-30,0.219586,1146725
1973-10-31,0.213472,2370514
1973-11-01,0.206849,3338448
1973-11-02,0.208887,3258301
1973-11-05,0.20583,1886547
1973-11-06,0.201245,2518478
1973-11-07,0.203792,1815647
1973-11-08,0.198697,3372357
1973-11-09,0.195641,3689864
